Number_of_cars,Number_of_different_loads,num_wheels1,length1,shape1,num_loads1,load_shape1,num_wheels2,length2,shape2,num_loads2,load_shape2,num_wheels3,length3,shape3,num_loads3,load_shape3,num_wheels4,length4,shape4,num_loads4,load_shape4,Rectangle_next_to_rectangle,Rectangle_next_to_triangle,Rectangle_next_to_hexagon,Rectangle_next_to_circle,Triangle_next_to_triangle,Triangle_next_to_hexagon,Triangle_next_to_circle,Hexagon_next_to_hexagon,Hexagon_next_to_circle,Circle_next_to_circle,Class_attribute
4,3,2,long,closedrect,3,rectanglod(short),2,short,openrect,1,trianglod,2,long,openrect,1,rectanglod(long),None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,east
4,2,2,short,openrect,1,circlelod,2,short,closedtrap,1,trianglod,2,short,openrect,2,circlelod,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,east
4,3,2,short,closedrect,1,circlelod,2,short,openrect,1,rectanglod(medium),2,short,ushaped,1,trianglod,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,east
5,4,2,short,openrect,1,rectanglod(medium),2,long,openrect,3,rectanglod(short),2,short,ushaped,1,trianglod,2,short,opentrap,1,circlelod,1,1,0,0,0,0,1,0,0,0,east
4,3,2,short,ushaped,1,rectanglod(medium),2,short,closedtrap,1,circlelod,2,short,closedrect,1,trianglod,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,east
4,1,2,short,ushaped,1,circlelod,2,short,opentrap,1,circlelod,2,short,opentrap,2,circlelod,None,None,None,None,None,0,0,0,0,0,0,0,0,0,1,east
5,4,2,long,closedrect,1,rectanglod(long),2,short,openrect,1,circlelod,2,short,ushaped,1,rectanglod(medium),2,Short,openrect,1,trianglod,0,1,0,1,0,0,0,0,0,0,east
3,2,2,short,ushaped,1,trianglod,2,short,dbclosedrect,1,rectanglod(medium),None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,east
5,3,2,long,closedrect,2,invtrianglod,3,long,openrect,1,rectanglod(long),2,short,opentrap,1,circlelod,2,short,openrect,1,circlelod,0,0,0,1,0,0,0,0,0,1,east
3,2,3,long,openrect,1,rectanglod(long),2,short,ushaped,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,east
